district,Lat,Long
เมืองขอนแก่น,16.438333,102.838889
เวียงเก่า,16.678611,102.294444
บ้านแฮด,16.2025,102.750833
บ้านฝาง,16.453333,102.638333
พระยืน,16.32455,102.64757
ซำสูง,16.543056,103.079722
น้ำพอง,16.701944,102.856667
บ้านไผ่,16.06,102.730833
หนองเรือ,16.493333,102.433333
เขาสวนกวาง,16.858611,102.861667
อุบลรัตน์,16.752778,102.632778
โนนศิลา,15.973889,102.669167
ชนบท,16.088333,102.621667
มัญจาคีรี,16.126667,102.542222
กระนวน,16.706111,103.078889
ภูเวียง,16.654444,102.376944
แวงใหญ่,15.959444,102.547778
พล,15.815833,102.598611
โคกโพธิ์ไชย,16.083611,102.398889
เปือยน้อย,15.871389,102.905556
หนองนาคำ,16.800833,102.341111
ชุมแพ,16.544167,102.099722
หนองสองห้อง,15.733611,102.795556
แวงน้อย,15.803611,102.415833
ภูผาม่าน,16.645,101.903889
สีชมพู,16.800278,102.187778
